0.339 1.993 2
1.433 0.823 1
1.129 1.124 1
0.897 0.489 1
-0.609 0.119 0
-0.296 1.837 2
-1.403 0.174 0
-1.56 0.066 0
0.683 1.005 1
0.294 1.694 2
0.18 2.089 2
-0.301 2.249 2
-0.964 -0.025 0
0.046 2.177 2
-0.115 2.018 2
0.08 2.05 2
1.167 1.537 1
-0.795 0.001 0
1.604 1.197 1
-1.221 -0.414 0
-0.778 0.548 0
-0.752 -0.381 0
1.361 1.154 1
1.188 1.795 1
-0.12 1.951 2
-1.319 -0.301 0
-1.105 -0.719 0
1.171 1.051 1
-0.414 1.836 2
0.252 2.185 2
0.875 0.829 1
0.948 0.441 1
1.317 1.146 1
0.52 2.426 2
1.045 0.828 1
0.025 2.2 2
-0.001 1.854 2
1.151 1.039 1
-0.127 1.978 2
-0.925 -0.073 0
-1.673 0.396 0
-0.707 2.221 2
1.109 0.887 1
-1.002 -0.26 0
-1.173 0.125 0
0.524 1.355 1
0.626 0.849 1
0.761 0.487 1
-0.223 1.97 2
-0.443 -0.592 0
0.508 1.204 1
1.08 1.03 1
0.996 1.2 1
0.168 0.684 1
0.955 1.292 1
-0.73 -0.345 0
-0.367 2.167 2
-1.06 0.122 0
-0.222 1.871 2
0.973 1.348 1
1.171 0.879 1
-0.038 1.941 2
-0.835 -0.433 0
-0.841 0.403 0
-1.131 0.155 0
-1.077 0.323 0
-0.459 2.822 2
-1.178 0.281 0
1.524 1.259 1
-1.112 0.134 0
-0.447 -0.249 0
0.431 2.477 2
-0.867 -0.015 0
0.628 1.02 1
0.792 1.098 1
0.591 1.054 1
-1.183 0.208 0
0.946 1.099 1
1.193 1.039 1
-0.679 -0.178 0
-0.384 2.073 2
-1.008 0.494 0
-0.506 0.247 0
-0.017 2.156 2
0.093 1.966 2
0.78 1.559 1
-1.399 0.582 0
1.088 1.431 1
0.941 0.889 1
0.629 0.891 1
-1.063 -0.073 0
-1.649 0.343 0
-0.256 2.412 2
-1.041 -0.475 0
1.489 0.521 1
-1.153 -0.156 0
0.353 1.785 2
1.023 1.106 1
-0.447 0.184 0
-0.624 0.394 0
-0.166 2.016 2
-1.282 -0.484 0
-1.42 0.168 0
-0.015 1.495 2
0.169 1.534 2
1.004 0.791 1
1.094 0.869 1
-0.848 0.324 0
1.341 1.364 1
0.983 1.253 1
0.425 1.811 2
-1.12 -0.407 0
0.685 2.233 2
1.062 1.217 1
0.088 1.713 2
0.444 2.259 2
1.205 1.767 1
-0.512 2.397 2
